text,label,word_count,char_count
CF Industries stock price target raised to $56 vs. $52 at BofA Merrill Lynch,1,14,76
CF Industries upgraded to buy vs. neutral at BofA Merrill Lynch,1,11,63
Ciena stock price target raised to $47 vs. $43 at Instinet,1,11,58
Citi gives big boost to Deere PT,1,7,32
Citi reels in PT on Nu Skin,1,7,27
"CITRON SAYS IT S LONG ON LUCKIN COFFEE

MW vs CItron",1,10,52
CNH Industrial upped to Buy at Deutsche Bank on valuation,1,10,57
Copa Holdings stock price target raised to $130 from $103 at Deutsche Bank,1,13,74
Costco price target raised to $330 vs. $320 at BofA Merrill Lynch,1,12,65
CSX stock price target raised to $90 from $72 at Deutsche Bank,1,12,62
CSX upgraded to buy from hold at Deutsche Bank,1,9,46
CVS Health stock price target raised to $90 from $85 at SunTrust RH,1,13,67
CyrusOne upgraded to overweight from sector weight at KeyBanc Capital,1,10,69
Diamondrock Hospitality upgraded to sector weight from underweight at KeyBanc Capital,1,11,85
DLH Holdings maintained as buy with $7 price target at Canaccord,1,11,64
Domtar upgraded to market perform at BMO Capital,1,8,48
Dow stock price target raised to $52 vs. $46 at BofA Merrill Lynch,1,13,66
"Earnings Update  Here s Why Analysts Just Lifted Their Aemetis, Inc. Price Target To US$2.25",1,16,92
Earnings Update  Here s Why Analysts Just Lifted Their Milestone Scientific Inc. Price Target To US$2.00,1,17,104
"Earnings Update  Here s Why Analysts Just Lifted Their Skyworks Solutions, Inc. Price Target To US$104",1,17,102
Eastman Chemical stock price target raised to $85 vs. $82 at BofA Merrill Lynch,1,14,79
Edgewell stock price target raised to $41 from $33 at CFRA,1,11,58
Elastic upgraded to buy from hold at Canaccord Genuity,1,9,54
"Enbridge upgraded to buy from neutral at UBS, price target lifted to C$54 from C$50",1,15,83
"Energizer Holdings upgraded to neutral from underweight at JP Morgan, price target lifted to $51 from $41",1,17,105
Energizer shakes off JPMorgan s bear call,1,7,41
Equity Lifestyle Properties upgraded to outperform at BMO Capital,1,9,65
Estee Lauder stock price target raised to $238 from $202 at Raymond James,1,13,73
Etsy initiated as buy with $55 price target at SunTrust Robinson Humphrey,1,12,73
FedEx stock price target raised to $168 from $163 at BofA Securities,1,12,68
FleetCor stock price target raised to $325 from $310 at CFRA,1,11,60
Ford s electric SUV impresses Credit Suisse,1,7,43
Fortinet stock price target raised to $115 from $104 at BMO Capital,1,12,67
Fortinet stock price target raised to $120 from $110 at Monness Crespi Hardt,1,13,76
"Glenmark Pharmaceuticals Limited Just Beat Analyst Forecasts, And Analysts Have Been Updating Their Predictions",1,14,111
Goldman adds Workday to conviction list  shares  1,1,10,51
"Goldman Says 36,000  Rally in Brazilian Retailer Has Room to Run",1,12,64
GrubHub stock price target raised to $40 from $34 at Oppenheimer,1,11,64
GrubHub stock price target raised to $60 from $30 at Susquehanna,1,11,64
Hasbro upgraded on earnings growth potential from Entertainment One acquisition,1,10,79
"Hasbro upgraded to buy from neutral at UBS, price target $117",1,11,61
Heat Biologics started at buy with $1 stock price target at Maxim Group,1,13,71
"Home Depot upgraded to outperform from neutral at Credit Suisse, price target raised to $235 from $225",1,17,102
Humana stock price target raised to $363 from $319 at Deutsche Bank,1,12,67
Huntsman named Conviction Buy at Goldman in chemical sector shuffle,1,10,67
Intel stock price target raised to $62 vs. $60 at SunTrust Robinson Humphrey,1,13,76
Intercept Pharmaceuticals maintained as buy with $165 price target at Canaccord,1,11,79
Invitae Corp. maintained as buy at Benchmark,1,7,44
J.C. Penney stock price target raised to $1.00 from 80 cents at B. Riley FBR,1,15,76
Jabil stock price target raised to $47 from $36 at CFRA,1,11,55
Jefferies analysts lifted Tesla STOCK shares to buy while paring the price target 19 . HTTPS_URL,1,16,110
JPMorgan likes Bausch Health in premarket analyst action,1,8,56
JPMorgan out bullish on Uber s upside potential,1,8,47
Kilroy Realty upgraded to overweight from sector weight at KeyBanc Capital,1,11,74
L3Harris started at buy with $280 stock price target at Benchmark,1,11,65
Lagging MLP upgraded at Goldman as new projects seen lifting cash flows,1,12,71
Ligand Pharmaceuticals started at buy with $135 stock price target at Benchmark,1,12,79
Lovesac maintained as buy at Canaccord,1,6,38
Lululemon stock price target raised to $260 vs. $222 at Susquehanna,1,11,67
Lyft stock gets an upgrade due to competitive positioning,1,9,57
LyondellBasell sock price target raised to $107 vs. $99 at BofA Merrill Lynch,1,13,77
Magnolia Oil   Gas started at overweight with $14 stock price target at KeyBanc Capital,1,16,87
Mesa Air reiterated as outperform at Cowen,1,7,42
Microchip Technology stock price target raised to $113 vs. $106 at SunTrust Robinson Humphrey,1,14,93
Mizuho raises Intel on aggressive price cuts,1,7,44
Molina Healthcare stock price target raised to $165 from $155 at SunTrust RH,1,13,76
Morgan Stanley analyst Joseph Moore upgraded NVIDIA  NASDAQ  STOCK  from Equalweight to Overweight with a price tar  HTTPS_URL,1,22,140
Morgan Stanley bullish on Eldorado Resorts ahead of Caesars combination,1,10,71
Morgan Stanley joins mortgage sector bulls,1,6,42
Morgan Stanley Raises Fortinet s Price Target After Bullish Analyst Day,1,11,71
Morgan Stanley upgrades NVIDIA STOCK from Equal Weight to Overweight and announces $259 price target.,1,15,101
"Morgan Stanley upgrades Nvidia to buy, predicting 2020 will be  a return to solid growth  HTTPS_URL",1,18,113
"Munster Doubles Down, Says Apple Has 40  Upside This Year",1,11,57
New bull sees 22  upside for Splunk,1,8,35
New for subscribers   Morgan Stanley adds Amazon to its list of favorite stocks. Here are the rest... HTTPS_URL,1,20,125
Newmont Goldcorp stock price target raised to $41.50 from $39.50 at B. Riley FBR,1,14,80
NLight target raised on Nutronics deal,1,6,38
Nokia stock price target raised to $6.00 from $5.50 at MKM Partners,1,12,67
Nuvasive upgraded to outperform vs market perform at Leerink,1,9,60
"Nvidia Has One Of The Best Opportunities To Maintain High Multiple, Morgan Stanley Says In Upgrade",1,16,98
Nvidia stock climbs after Morgan Stanley turns bullish,1,8,54
NXP Semiconductors stock price target raised to $139 vs. $128 at SunTrust Robinson Humphrey,1,14,91
Olin Corp. stock price target raised to $23 vs. $22 at BofA Merrill Lynch,1,14,73
One analyst says TD could unlock  significant value  by selling its minority stake in Ameritrade after its purchase  HTTPS_URL,1,22,140
Onto Innovation stock price target raised to $50 from $40 at Benchmark,1,12,70
Owens Corning upgraded at Wells after raising residential insulation prices,1,10,75
"Owens Corning Upgraded On Strong Insulation, Roofing Potential",1,8,62
Oyster Point Pharma initiated at overweight with $26 price target at JP Morgan,1,13,78
"Paul Tudor Jones Sees the Potential for a Stock Market Explosion, to the Upside",1,14,79
PennMac Financial rises to record as Piper gets more bullish,1,10,60
Piper likes DexCom in premarket analyst action,1,7,46
"Pixelworks, Inc. Just Reported And Analysts Have Been Lifting Their Price Targets",1,12,81
PPG Industries stock price target raised to $113 vs. $105 at BofA Merrill Lynch,1,14,79
Prothena upgraded to outperform from in line at Evercore ISI,1,10,60
Purple Innovation initiated at overweight with $12 price target at KeyBanc Capital,1,12,82
Quanterix maintained as outperform with $35 price target at Leerink,1,10,67
Results  KLA Corporation Beat Earnings Expectations And Analysts Now Have New Forecasts,1,13,87
RPM International stock price target raised to $79 vs. $75 at BofA Merrill Lynch,1,14,80
S P Global stock price target raised to $322 from $274 at Stifel Nicolaus,1,14,73
Sanderson Farms stock price target raised to $159 from $150 at J.P. Morgan,1,13,74
Schlumberger started at buy with $42 stock price target at Deutsche Bank,1,12,72
Selvaag Bolig ASA Just Beat Earnings Expectations  Here s What Analysts Think Will Happen Next,1,16,94
"SoftBank will have the  last laugh  with WeWork deal, one Bernstein analyst says HTTPS_URL",1,16,104
Sonoma Pharma maintained as buy with $9 price target at Benchmark,1,11,65
Splunk upgraded to overweight at Morgan Stanley,1,7,47
"Starbucks Stock Is a Buy, According to This Investment Bank",1,10,59
Starbucks upgraded to overweight at J.P. Morgan after meeting with executives,1,11,77
"Stifel Upgrades Parker Hannifin On Potential Synergies, Industry Recovery Prospects",1,10,83
"Stifel Upgrades Wendy s, Bullish On Breakfast And Digital Prospects",1,10,67
"Syanptics raised on forecast, margin strength",1,6,45
Synaptics stock price target raised to $40 from $32 at J.P. Morgan,1,12,66
"Synopsys upgraded to overweight from neutral at JPMorgan, price target raised to $160 from $157",1,15,95
TE Connectivity stock price target raised to $95 vs. $94 at SunTrust Robinson Humphrey,1,14,86
Teekay Tankers upped two notches to Buy at BAML,1,9,47
Texas Instruments stock price target raised to $125 vs. $122 at SunTrust Robinson Humphrey,1,14,90
Twitter stock price target raised to $36.50 from $34.50 at Wedbush,1,11,66
Twitter stock price target raised to $38 from $36 at SunTrust RH,1,12,64
Twitter stock price target raised to $47 from $34 at Susquehanna,1,11,64
"Twitter, Inc. Just Reported And Analysts Have Been Lifting Their Price Targets",1,12,78
U.S. Well Services initiated at buy with $3.50 price target at Stifel,1,12,69
Uber stock price target raised to $45 from $34 at MKM Partners,1,12,62
Uber stock price target raised to $49 from $47 at BofA Securities,1,12,65
Uber stock price target raised to $50 from $45 at Oppenheimer,1,11,61
Uber stock price target raised to $52 from $50 at Wedbush,1,11,57
Uber stock price target raised to $54 from $50 at Deutsche Bank,1,12,63
UBS raises Peloton s price target to $40,1,8,40
UBS upgrades Hasbro on strong sales of Frozen II dolls into Black Friday HTTPS_URL,1,14,96
UDR upgraded to overweight from sector weight at KeyBanc Capital,1,10,64
Unisys stock price target raised to $21 from $18 at Sidoti   Co.,1,14,64
UnitedHealth stock price target raised to $338 from $303 at CFRA,1,11,64
Upgrades 11 25  STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK,1,27,136
Upgrades 4 7  STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK  HTTPS_URL,1,26,140
Vertex Pharmaceuticals stock price target raised to $248 from $240 at BMO Capital,1,13,81
Vertical Research expects Allison Transmission to break out,1,8,59
Voyager Therapeutics started at outperform with $26 stock price target at Oppenheimer,1,12,85
Walt Disney stock price target raised to $143 from $141 at Imperial Capital,1,13,75
"Wells Fargo analyst Dori Kesten lifted her rating on Marriott STOCK to overweight, noting that the hotel chain s sha  HTTPS_URL",1,22,140
Wells still bullish on T Mobile after unsurprising CEO change,1,10,61
Westlake Chemical stock price target raised to $65 vs. $64 at BofA Merrill Lynch,1,14,80
WestRock stock price target raised to $48 from $42 at BofA Merrill Lynch,1,13,72
WestRock upgraded to buy from neutral at BofA Merrill Lynch,1,10,59
Why Credit Suisse Sees the S P 500 Gaining 10  in 2020,1,13,54
Williams Cos. initiated as buy with $27 price target at SunTrust Robinson Humphrey,1,13,82
"Workday added to Goldman s conviction list, stock gains",1,9,55
Zendesk stock price target raised to $85 from $75 at Stifel Nicolaus,1,12,68
Zendesk targets raised after  solid  results,1,8,44
STOCK   MKM Partners puts a number on Victoria s Secret HTTPS_URL,2,13,77
STOCK   Baird returns to Wingstop bull camp HTTPS_URL,2,10,67
Analysts React To FCC Decision On Intelsat C Band Spectrum Auction,2,11,66
Arex Capital ramps up pressure on Zagg,2,7,38
Aviation Capital Group Assigned  Baa2  Rating by Moody s HTTPS_URL HTTPS_URL,2,13,104
"Benzinga s Top Upgrades, Downgrades For December 17, 2019",2,9,57
"Benzinga s Top Upgrades, Downgrades For November 25, 2019",2,9,57
BRP Group started at hold with $18 stock price target at Jefferies,2,12,66
"BTIG resumes coverage on range of healthcare stocks, neutral on AbbVie",2,11,70
Bull camp empty on Sally Beauty,2,6,31
CA$10.60   That s What Analysts Think Vecima Networks Inc. Is Worth After These Results,2,16,87
"Chicken Soup for the Soul Entertainment, Inc. Third Quarter Results  Here s What Analysts Are Forecasting For Next Year",2,20,119
"Citron Research, owned by the prominent short seller Andrew Left, placed a $5 price target on STOCK  HTTPS_URL",2,19,124
"Coin Toss  Morgan Stanley Raises Tesla Bull Case To $500, Keeps Bear Case At $10 HTTPS_URL",2,17,104
GDS Holdings Limited Just Released Its Third Quarter Earnings  Here s What Analysts Think,2,15,89
Global Automotive Tensioner Market 2019 2023   Growing Adoption of Start Stop System to Boost Growth   Technavio  HTTPS_URL,2,22,137
"Here are the biggest analyst calls of the day  Johnson   Johnson, Canopy Growth, Intelsat   more",2,20,96
"Here are the biggest analyst calls of the day  Netflix, Nvidia, Lyft, Molson Coors, Snap   more",2,19,95
"Here are the biggest analyst calls of the day  Netflix, Nvidia, Lyft, Molson Coors, Snap   more HTTPS_URL",2,20,119
II Vi Inc. initiated as neutral at Susquehanna,2,8,46
